species,dbh,condition,width,radius,ndvi_count,ndvi_mean,ndvi_median,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,file
ACMA,17.7,Fair,38.53045108383768,19.265,12,0.459397308528423,0.468249782919884,0.0426193066747605,0.364591926336288,0.52185595035553,0.157264024019241,street
PSME,38.2,Fair,47.169483375911376,23.585,18,0.426336747076776,0.427648782730103,0.0380021110195349,0.348220735788345,0.477316975593567,0.129096239805222,street
ACPL,12.9,Fair,33.82260452916016,16.911,9,0.265508199731509,0.293321669101715,0.0560819916555192,0.184172138571739,0.341605663299561,0.157433524727821,street
ACMA,10.8,Fair,29.25556242843898,14.628,8,0.545384753495455,0.565963685512543,0.0603232077813289,0.428168535232544,0.609089076519012,0.180920541286469,street
ACMA,44.7,Poor,64.83364212647042,32.417,34,0.414941352518166,0.421122416853905,0.0966340003927003,0.236035287380219,0.556149542331696,0.320114254951477,street
ACMA,10.8,Fair,29.25556242843898,14.628,8,0.398781780153513,0.404510229825974,0.0862390289034059,0.25715559720993,0.524075448513031,0.266919851303101,street
ACMA,19.7,Fair,41.043381517112216,20.522,13,0.50331700535921,0.502303123474121,0.0137038951119079,0.481160879135132,0.53603732585907,0.054876446723938,street
ACPL,3.7,Fair,14.79138007066878,7.396,2,0.327440202236176,0.327440202236176,0.0116625130176544,0.315777689218521,0.33910271525383,0.0233250260353088,street
ACPL,23,Fair,50.608250939496905,25.304,21,0.538850030728749,0.553886771202087,0.0487789604686619,0.441969156265259,0.620734751224518,0.178765594959259,street
THPL,9.1,Fair,17.572180666094386,8.786,2,0.475510627031326,0.475510627031326,0.0106847882270813,0.464825838804245,0.486195415258408,0.0213695764541626,street
THPL,24,Fair,30.38134238605605,15.191,7,0.403660799775805,0.39568293094635,0.0637001640508895,0.277052521705627,0.476649731397629,0.199597209692001,street
ACMA,33.3,Fair,55.83817748723878,27.919,26,0.478400386296786,0.496776938438416,0.0881627153262364,0.292862325906754,0.586614906787872,0.293752580881119,street
THPL,10,Poor,18.57914830686499,9.29,2,0.326283887028694,0.326283887028694,0.0244758874177933,0.301807999610901,0.350759774446487,0.0489517748355865,street
ACPL,9.2,Good,26.517447985864926,13.259,5,0.544293576478958,0.558029353618622,0.0502257251379098,0.454111963510513,0.597914159297943,0.14380219578743,street
PSME,30.3,Good,40.887584430598054,20.444,12,0.409279877940814,0.417121887207031,0.0399918096796694,0.325071960687637,0.460194259881973,0.135122299194336,street
PSME,27.1,Fair,38.08526564895167,19.043,10,0.422745680809021,0.444152534008026,0.0609319906480058,0.308094710111618,0.505714774131775,0.197620064020157,street
PSME,11,Poor,21.230442744108288,10.615,3,0.466984887917836,0.486491680145264,0.0521234257594545,0.395669400691986,0.51879358291626,0.123124182224274,street
PSME,27,Fair,37.99507951583954,18.998,10,0.427829080820084,0.42565256357193,0.0250684944115799,0.383224874734879,0.465323567390442,0.0820986926555634,street
PSME,38.4,Fair,47.31784796824274,23.659,18,0.415683761239052,0.417799398303032,0.0509340173110016,0.320051491260529,0.486064255237579,0.166012763977051,street
PSME,32.3,Fair,42.559929683337074,21.28,14,0.362189718655178,0.364553987979889,0.0398621589656933,0.266649425029755,0.413149744272232,0.146500319242477,street
ACPL,8.800000000000002,Poor,25.69721408664017,12.849,5,0.233650919795036,0.224071949720383,0.0368978528705757,0.192771539092064,0.300835639238358,0.108064100146294,street
ACMA,18,Fair,38.91257277908315,19.456,13,0.554424959879655,0.550319075584412,0.046460703701231,0.482298493385315,0.628652572631836,0.146354079246521,street
ACPL,17.9,Fair,42.77289651215864,21.386,14,0.498558593647821,0.503188282251358,0.026226433810486,0.449841231107712,0.540599644184113,0.0907584130764008,street
ACPL,17.7,Fair,42.437549301906294,21.219,15,0.482309617598852,0.48657238483429,0.0814351179280989,0.337729841470718,0.599822700023651,0.262092858552933,street
THPL,31.9,Fair,34.90934572321366,17.455,9,0.417778707212872,0.420567214488983,0.0468330741878564,0.337236911058426,0.47736456990242,0.140127658843994,street
PSME,18.7,Fair,29.909508637585738,14.955,6,0.360155448317528,0.365753799676895,0.017793823623515,0.322025626897812,0.375314712524414,0.0532890856266022,street
THPL,29.7,Fair,33.73582141637572,16.868,9,0.455027686225043,0.457791894674301,0.0164442292213894,0.422140181064606,0.477003484964371,0.054863303899765,street
THPL,17.8,Fair,25.93568986821833,12.968,6,0.477036759257317,0.475937828421593,0.00898918561082304,0.464034676551819,0.490120202302933,0.0260855257511139,street
PSME,26.5,Fair,37.54170523234074,18.771,11,0.382059858603911,0.386495620012283,0.0558343407141132,0.299862384796143,0.454633802175522,0.154771417379379,street
ACPL,15.6,Fair,38.79865404830763,19.399,12,0.272278148680925,0.265760853886604,0.0860861161763995,0.152422994375229,0.410786598920822,0.258363604545593,street
ACPL,21.4,Fair,48.30434807279373,24.152,18,0.461590730481678,0.465193271636963,0.0562575124392793,0.356198132038116,0.538053750991821,0.181855618953705,street
