species,dbh,condition,ndvi_count,sample_ndvi,ndvi_median,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,file,method,preds
ACMA,24.3,Fair,3,0.525837560494741,0.524348378181458,0.003371091622302,0.52266001701355,0.530504286289215,0.007844269275665,park,LiDAR,fair
PSME,27.9,Fair,5,0.545082271099091,0.54630434513092,0.005252566739951,0.535466551780701,0.550455093383789,0.014988541603088,park,LiDAR,good
THPL,41.3,Fair,12,0.594381272792816,0.593702375888824,0.031854041853133,0.544947922229767,0.637060463428497,0.09211254119873,park,LiDAR,poor
PSME,44.2,Good,12,0.539518217245738,0.538256853818893,0.015809106753995,0.505035877227783,0.566081821918488,0.061045944690704,park,LiDAR,good
PSME,29.8,Poor,3,0.520439565181732,0.518175005912781,0.004183409652034,0.516838431358337,0.526305258274078,0.009466826915741,park,LiDAR,good
THPL,37.2,Fair,13,0.449735591044793,0.461776733398438,0.035184651997488,0.375101447105408,0.489310085773468,0.11420863866806,park,LiDAR,poor
THPL,33.7,Fair,6,0.471227144201597,0.470899730920792,0.019200413625061,0.44608348608017,0.497595310211182,0.051511824131012,park,LiDAR,poor
ACPL,21,Fair,3,0.557928582032522,0.56398993730545,0.018413276584031,0.532965779304504,0.57683002948761,0.043864250183105,park,LiDAR,good
PSME,21.4,Fair,1.114155638714651,0.54596248702531,0.547098994255066,0.003499042292123,0.542396783828735,0.553526818752289,0.011130034923553,park,LiDAR,good
PSME,25.8,Fair,11,0.432779821482572,0.426752656698227,0.033669403983332,0.377566307783127,0.485514760017395,0.107948452234268,park,LiDAR,good
ACPL,22.8,Fair,10,0.538134014606476,0.54670986533165,0.024126265614691,0.491673648357391,0.562659740447998,0.070986092090607,park,LiDAR,good
THPL,23.2,Fair,32,0.423492009751499,0.444602519273758,0.05796959357753,0.280049562454224,0.491757214069366,0.211707651615143,park,LiDAR,poor
THPL,12.5,Fair,0.742770425848199,0.627824135910064,0.627447485923767,0.007041240071387,0.624262750148773,0.639482259750366,0.015219509601593,park,LiDAR,poor
THPL,11.3,Fair,1.1141556387759,0.625419303760275,0.62111222743988,0.007166434258897,0.615214884281158,0.626711249351501,0.011496365070343,park,LiDAR,poor
ACPL,22.8,Fair,19,0.560428649187088,0.579194903373718,0.066239318766174,0.39627406001091,0.645084381103516,0.248810321092606,park,LiDAR,good
THPL,34.4,Fair,8,0.389753792434931,0.39364056289196,0.063895701271009,0.284400373697281,0.459475308656693,0.175074934959412,park,LiDAR,fair
THPL,5,Fair,2,0.453158989548683,0.453158989548683,0.009543940424919,0.443615049123764,0.462702929973602,0.019087880849838,park,LiDAR,poor
ACPL,7.1,Fair,6,0.502018004655838,0.501644507050514,0.02767075790216,0.457981318235397,0.542643964290619,0.084662646055222,park,LiDAR,good
ACMA,46.7,Fair,8,0.605156891047955,0.606210380792618,0.010543249088529,0.584879457950592,0.620152533054352,0.03527307510376,park,LiDAR,good
THPL,21.8,Fair,1.207001942064572,0.529315956793242,0.529588401317596,0.0090978718108820009,0.51774275302887,0.541401207447052,0.023658454418182,park,LiDAR,poor
ACMA,22.9,Fair,16,0.511408662423491,0.521027654409409,0.055736366371396,0.406478077173233,0.583233952522278,0.176755875349045,park,LiDAR,fair
PSME,24.4,Fair,3,0.54866365591685,0.547354936599731,0.002125602146061,0.546974360942841,0.551661670207977,0.004687309265137,park,LiDAR,good
ACMA,24,Poor,6,0.519886011878649,0.516981720924377,0.01636830102937,0.49468806385994,0.54766583442688,0.05297777056694,park,LiDAR,fair
ACPL,19.9,Fair,19,0.47275595445382,0.483620703220367,0.044376977096465,0.35225510597229,0.523120284080505,0.170865178108215,park,LiDAR,good
ACPL,23.7,Good,10,0.567118191719055,0.568910032510757,0.013280209613738,0.541813015937805,0.587820053100586,0.046007037162781,park,LiDAR,good
ACMA,18,Poor,6,0.430257985989253,0.427061453461647,0.037298511409392,0.370852053165436,0.492496490478516,0.12164443731308,park,LiDAR,poor
ACPL,25.7,Fair,21,0.539262238002959,0.551012396812439,0.035714053872988,0.464643806219101,0.587885022163391,0.12324121594429,park,LiDAR,good
ACPL,17.1,Fair,9,0.52354766925176,0.525303423404694,0.023543011201682,0.477564364671707,0.550490021705627,0.07292565703392,park,LiDAR,good
ACPL,24.7,Fair,19,0.574160293528908,0.581017374992371,0.026669476527089,0.522591471672058,0.607251942157745,0.084660470485687,park,LiDAR,good
THPL,21.8,Fair,2,0.550389260053635,0.550389260053635,0.018228322267532,0.532160937786102,0.568617582321167,0.036456644535065,park,LiDAR,poor
